instance,status,our_objective,our_time_s,ref_tag,ref_objective,verdict
snp-02-004-104,time-limit,0,60.01,=opt=,586803238.6567289,no-answer
sorrell3,time-limit,0,60.10,=opt=,-16.0,no-answer
sp150x300d,feasible,70,60.01,=opt=,69.0,MISMATCH
sp97ar,time-limit,0,79.89,=opt=,660705645.759,no-answer
sp98ar,time-limit,0,60.00,=opt=,529740623.2,no-answer
splice1k1,time-limit,0,60.55,=opt=,-394.0,no-answer
square41,time-limit,0,60.11,=opt=,15.0,no-answer
square47,time-limit,0,60.08,=opt=,15.9999999997877,no-answer
supportcase10,time-limit,0,60.02,=opt=,7.0,no-answer
supportcase12,time-limit,0,60.03,=opt=,-7559.533053817,no-answer
supportcase18,time-limit,0,84.10,=opt=,48.0,no-answer
supportcase19,time-limit,0,60.04,=opt=,12677205.99992052,no-answer
supportcase22,time-limit,0,60.03,=best=,110.0,no-answer
supportcase26,feasible,2165.677522,60.00,=opt=,1745.123813,MISMATCH
supportcase33,time-limit,0,60.24,=opt=,-345.0,no-answer
supportcase40,time-limit,0,60.00,=opt=,24256.3122898,no-answer
supportcase42,time-limit,0,60.09,=opt=,7.75863072227,no-answer
supportcase6,feasible,51981.50465,62.18,=opt=,51906.47737,near
supportcase7,time-limit,0,60.01,=opt=,-1132.223177,no-answer
swath1,feasible,382.3078038,60.00,=opt=,379.07129575,near
swath3,feasible,400.2201969,60.04,=opt=,397.76134365,near
tbfp-network,time-limit,0,109.29,=opt=,24.16319444,no-answer
thor50dday,time-limit,0,60.01,=opt=,40417.0,no-answer
timtab1,time-limit,0,60.01,=opt=,764771.99999978,no-answer
tr12-30,time-limit,0,60.00,=opt=,130595.9999999999,no-answer
traininstance2,time-limit,0,71.38,=opt=,71820.0,no-answer
traininstance6,time-limit,0,60.20,=opt=,28290.0,no-answer
trento1,time-limit,0,60.00,=opt=,5189487.0,no-answer
triptim1,time-limit,0,60.08,=opt=,22.8680999999999,no-answer
uccase12,time-limit,0,60.01,=opt=,11507.4050616,no-answer
uccase9,time-limit,0,60.03,=opt=,10993.131409,no-answer
uct-subprob,time-limit,0,60.00,=opt=,314.0,no-answer
unitcal_7,time-limit,0,60.04,=opt=,19635558.244,no-answer
var-smallemery-m6j6,time-limit,0,60.10,=opt=,-149.37501,no-answer
wachplan,time-limit,0,133.04,=opt=,-8.0,no-answer
